county,population
ALLEGANY ,48927
ANNE ARUNDEL ,446729
BALTIMORE ,643834
CALVERT ,71463
CAROLINE ,24906
CARROLL ,132037
CECIL ,79355
CHARLES ,126956
DORCHESTER ,25218
FREDERICK ,210226
GARRETT ,22873
HARFORD ,202101
HOWARD ,251011
KENT ,14650
MONTGOMERY ,806469
PRINCE GEORGE'S ,724793
QUEEN ANNE'S ,39690
ST. MARY'S ,84484
SOMERSET ,15426
TALBOT ,30182
WASHINGTON ,113701
WICOMICO ,76698
WORCESTER ,43365
"BALTIMORE CITY, MARYLAND",435591
