institution,state,2021_22_tuitionfee_in,2021_22_tuitionfee_out,2021_22_undergrad_enrollment,2022_23_tuitionfee_in,2022_23_tuitionfee_out,2022_23_undergrad_enrollment,2023_24_tuitionfee_in,2023_24_tuitionfee_out,2023_24_undergrad_enrollment
J Sargeant Reynolds Community College,VA,3998,8800,5299,4998,11001,5272,5136,11139,5284
James Madison University,VA,12638,29564,19743,13092,30152,19968,13576,30790,20497
Brightpoint Community College,VA,4800,10803,5386,4800,10803,5438,4938,10941,5548
Liberty University,VA,22713,22713,47618,22511,22511,48408,21222,21222,50059
Longwood University,VA,14334,25730,3200,14840,27780,3009,15200,27410,2957
Laurel Ridge Community College,VA,4739,10742,3180,4739,10742,3111,4928,10931,3167
University of Lynchburg,VA,33500,33500,1614,34500,34500,1543,35540,35540,1599
Centra College,VA,12664,12664,304,12259,12259,227,12263,12263,212
Mary Baldwin University,VA,31140,31140,1458,32036,32036,1298,33157,33157,1188
University of Mary Washington,VA,13830,30256,3624,14234,31154,3443,14559,31479,3504
Marymount University,VA,36050,36050,1891,37600,37600,1764,39050,39050,1795
Sovah School of Health Professions,VA,NA,NA,19,NA,NA,23,NA,NA,20
Mountain Empire Community College,VA,4710,10713,1268,4725,10728,1148,4863,10866,1240
American National University,VA,10288,10288,868,10856,10856,950,10735,10735,643
New River Community College,VA,4697,10699,1954,4697,10699,1888,4835,10837,1917
Sentara College of Health Sciences,VA,NA,NA,260,NA,NA,241,NA,NA,239
Tidewater Tech-Trades,VA,16337,16337,466,16337,16337,454,16337,16337,514
Norfolk State University,VA,9622,20790,5004,9622,20790,5328,9910,21412,5495
Northern Virginia Community College,VA,5565,11648,32902,5565,11648,32211,5703,11786,31737
Old Dominion University,VA,10800,30960,18429,11220,31170,18152,12262,32662,17521
Patrick & Henry Community College,VA,4720,10723,1402,4720,10723,1383,4858,10861,1411
Paul D Camp Community College,VA,4730,10733,618,4730,10733,591,4868,10871,605
Southside College of Health Sciences,VA,NA,NA,107,NA,NA,103,NA,NA,91
Piedmont Virginia Community College,VA,4790,10793,3039,4790,10793,2954,4928,10931,3032
Radford University,VA,11542,23624,6437,11916,24453,5945,12286,25185,5609
Sylvain Melloul International Hair Academy,VA,NA,NA,146,NA,NA,116,NA,NA,153
Randolph-Macon College,VA,45150,45150,1490,46460,46460,1476,48002,48002,1489
Randolph College,VA,26890,26890,475,27930,27930,461,29010,29010,520
Rappahannock Community College,VA,4820,10823,1216,4820,10823,1275,4958,10961,1318
Fortis College-Norfolk,VA,16305,16305,441,16514,16514,410,14083,14083,431
Richard Bland College,VA,8160,14130,1243,8250,14040,711,8850,14910,799
Bon Secours Memorial College of Nursing,VA,NA,NA,427,NA,NA,481,NA,NA,527
University of Richmond,VA,58570,58570,3098,60330,60330,3069,62600,62600,3002
Riverside College of Health Careers,VA,17600,17600,322,17600,17600,338,14875,14875,325
Roanoke College,VA,48330,48330,1837,35350,35350,1801,36774,36774,1801
Bon Secours St Mary's Hospital School of Medical Imaging,VA,NA,NA,33,NA,NA,27,NA,NA,31
Shenandoah University,VA,34490,34490,2122,35170,35170,2104,36028,36028,2127
Southern Virginia University,VA,17960,17960,1066,19108,19108,1053,20040,20040,967
Southside Virginia Community College,VA,4695,10698,1575,4695,10698,1695,4848,10851,1835
Southwest Virginia Community College,VA,4703,10706,1554,4733,10736,1528,4901,10904,1600
Staunton School of Cosmetology,VA,NA,NA,44,NA,NA,22,NA,NA,25
Strayer University-Virginia,VA,13515,13515,2594,13515,13515,2197,13920,13920,2010
Sweet Briar College,VA,23080,23080,451,23590,23590,451,25110,25110,463
Virginia Peninsula Community College,VA,4806,10809,4327,4806,10809,4227,4944,10947,3901
Tidewater Community College,VA,5561,11564,13610,5561,11564,12161,5714,11717,11797
Union Presbyterian Seminary,VA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Virginia's College at Wise,VA,11162,30672,1102,11498,31592,993,11656,32540,1214
Virginia Highlands Community College,VA,4710,10713,1718,4725,10728,1350,4863,10866,1335
Virginia Polytechnic Institute and State University,VA,14174,33857,29699,14586,34838,30339,15478,36694,30435
Virginia Western Community College,VA,5355,11358,3535,5103,11106,3681,5256,11259,3777
Virginia Commonwealth University,VA,15319,36657,20918,15828,37786,20552,16458,39042,20797
University of Virginia-Main Campus,VA,19244,53626,17041,20342,55914,17103,20986,58014,17315
Virginia Military Institute,VA,19670,48324,1652,19914,49722,1512,20484,51186,1560
Asher Institute of Hampton,VA,NA,NA,34,NA,NA,116,NA,NA,118
Virginia University of Lynchburg,VA,10136,10136,217,9400,9400,248,9248,9248,170
Virginia State University,VA,9154,20909,3886,9654,21409,4295,9755,22006,4787
Virginia Union University,VA,13530,13530,1190,14305,14305,1297,14880,14880,1153
Virginia Wesleyan University,VA,36910,36910,1190,36910,36910,1154,36960,36960,1243
Washington and Lee University,VA,59380,59380,1850,61750,61750,1861,64525,64525,1884
Wytheville Community College,VA,4725,10728,1188,4725,10728,1145,4863,10866,1229
ECPI University,VA,17479,17479,12022,18484,18484,11275,18484,18484,11270
Blades School of Hair Design,MD,NA,NA,43,NA,NA,28,NA,NA,NA
All-State Career-Baltimore,MD,NA,NA,528,NA,NA,475,NA,NA,535
Centura College-Newport News,VA,16637,16637,174,16637,16637,209,16637,16637,210
Centura College-Norfolk,VA,16637,16637,222,16637,16637,221,16637,16637,193
Virginia Beach City Public Schools School of Practical Nursing,VA,NA,NA,25,NA,NA,29,NA,NA,41
Fortis College-Richmond,VA,14495,14495,455,14332,14332,353,14986,14986,399
Carroll Community College,MD,4128,8688,2008,4128,8928,1976,4128,9618,2006
Centura College-Chesapeake,VA,16637,16637,204,16637,16637,189,16637,16637,225
CET-Alexandria,VA,NA,NA,82,NA,NA,60,NA,NA,23
Aviation Institute of Maintenance-Norfolk,VA,16757,16757,224,16757,16757,232,16757,16757,237
Centura College-Richmond Main,VA,16637,16637,177,16637,16637,149,16637,16637,31
Strayer University-Maryland,MD,13515,13515,1422,13515,13515,1298,13920,13920,1177
Cayce/Reilly School of Massage,VA,NA,NA,45,NA,NA,54,NA,NA,25
Henrico County-Saint Marys Hospital School of Practical Nursing,VA,NA,NA,100,NA,NA,101,NA,NA,79
Appalachian School of Law,VA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cortiva Institute,MD,NA,NA,356,NA,NA,386,NA,NA,251
Community College of Baltimore County,MD,4380,10880,14311,4380,10880,13223,4380,10880,13195
Yeshiva College of the Nations Capital,MD,10600,10600,33,10600,10600,43,11100,11100,57
Hair Academy II,MD,NA,NA,231,NA,NA,206,NA,NA,230
University of Management and Technology,VA,9450,9450,387,9450,9450,372,9450,9450,322
Chester Career College,VA,NA,NA,108,NA,NA,147,NA,NA,147
Stratford University,VA,15135,15135,1226,NA,NA,NA,NA,NA,NA
Eastern Virginia Career College,VA,NA,NA,117,NA,NA,202,NA,NA,217
Rudy & Kelly Academy A Paul Mitchell Partner School,VA,NA,NA,233,NA,NA,211,NA,NA,206
University of the Potomac-VA Campus,VA,6660,6660,80,6660,6660,223,6660,6660,177
Edward Via College of Osteopathic Medicine,VA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Empire Beauty School-Midlothian,VA,NA,NA,84,NA,NA,84,NA,NA,87
Empire Beauty School-Owings Mills,MD,NA,NA,90,NA,NA,125,NA,NA,131
Aviation Institute of Maintenance-Manassas,VA,16757,16757,244,16757,16757,188,16757,16757,189
Divine Mercy University,VA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Culpeper Cosmetology Training Center,VA,NA,NA,25,NA,NA,59,NA,NA,67
Maple Springs Baptist Bible College and Seminary,MD,5400,5400,20,NA,NA,NA,NA,NA,NA
Hair Expressions Academy,MD,NA,NA,29,NA,NA,38,NA,NA,NA
Avi Career Training,VA,NA,NA,17,NA,NA,17,NA,NA,74
Virginia Beach Theological Seminary,VA,NA,NA,1,NA,NA,2,NA,NA,2
Appalachian College of Pharmacy,VA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paul Mitchell the School-Tysons Corner,VA,NA,NA,109,NA,NA,129,NA,NA,94
Empire Beauty School-Richmond,VA,NA,NA,68,NA,NA,50,NA,NA,70
Patrick Henry College,VA,28425,28425,371,28425,28425,376,28425,28425,373
Omega Studios' School of Applied Recording Arts & Sciences,MD,NA,NA,102,NA,NA,86,NA,NA,74
The Temple-A Paul Mitchell Partner School,MD,NA,NA,182,NA,NA,169,NA,NA,167
Columbia College,VA,NA,NA,234,NA,NA,182,NA,NA,239
Ascent College,VA,9092,9092,61,7300,7300,68,7680,7680,85
Institute of Advanced Medical Esthetics,VA,NA,NA,10,NA,NA,24,NA,NA,37
The Art Institute of Virginia Beach,VA,19354,19354,117,20794,20794,88,NA,NA,NA
South University-Richmond,VA,17014,17014,268,17014,17014,274,18238,18238,244
South University-Virginia Beach,VA,17014,17014,254,17014,17014,205,18238,18238,252
Fairfax University of America,VA,10128,10128,8,10128,10128,15,10128,10128,5
Chamberlain University-Virginia,VA,19982,19982,715,20142,20142,663,20462,20462,567
Holistic Massage Training Institute,MD,NA,NA,34,NA,NA,32,NA,NA,28
Northern Virginia School of Therapeutic Massage,VA,NA,NA,120,NA,NA,139,NA,NA,87
Empire Beauty School-Virginia Beach,VA,NA,NA,160,NA,NA,171,NA,NA,169
Tomorrow's Image Barber And Beauty Academy of Virginia,VA,NA,NA,14,NA,NA,19,NA,NA,18
Bais HaMedrash and Mesivta of Baltimore,MD,13100,13100,81,13100,13100,86,13100,13100,91
Empire Beauty School-Glen Burnie,MD,NA,NA,82,NA,NA,81,NA,NA,73
Columbia Institute,MD,NA,NA,62,NA,NA,NA,NA,NA,NA
Paul Mitchell the School-Woodbridge,VA,NA,NA,117,NA,NA,37,NA,NA,NA
Aspen Beauty Academy of Laurel,MD,NA,NA,100,NA,NA,116,NA,NA,118
Institute of Health Sciences,MD,15100,15100,125,15100,15100,131,15100,15100,176
The Chrysm Institute of Esthetics,VA,NA,NA,167,NA,NA,217,NA,NA,255
DeVry University-Virginia,VA,17488,17488,88,17488,17488,59,17488,17488,25
Luckes Beauty Academy LLC,VA,NA,NA,28,NA,NA,21,NA,NA,21
Washington University of Science and Technology,VA,14000,14000,95,NA,NA,176,13178,13178,302
Standard Healthcare Services-College of Nursing,VA,NA,NA,518,NA,NA,623,NA,NA,719
Dermal Science International Aesthetics and Nail Academy,VA,NA,NA,45,NA,NA,61,NA,NA,35
Wave Leadership College,VA,8390,8390,31,NA,NA,NA,NA,NA,NA
The Temple Annapolis-A Paul Mitchell Partner School,MD,NA,NA,197,NA,NA,198,NA,NA,221
Paul Mitchell the School-Jessup,MD,NA,NA,131,NA,NA,121,NA,NA,125
Virginia University of Integrative Medicine,VA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Esthetic Institute,VA,NA,NA,107,NA,NA,115,NA,NA,107
Women's Institute of Torah Seminary and College,MD,10699,10699,141,9010,9010,134,9300,9300,141
Another Level Barbering and Cosmetology School,VA,NA,NA,45,NA,NA,50,NA,NA,77
American Massage & Bodywork Institute,VA,NA,NA,89,NA,NA,88,NA,NA,105
Crown Cutz Academy Bristol,VA,NA,NA,48,NA,NA,46,NA,NA,32
SANS Technology Institute,MD,NA,NA,147,NA,NA,427,NA,NA,643
Lotus Professional College,VA,NA,NA,89,NA,NA,108,NA,NA,157
Fortis College-Landover,MD,15362,15362,603,15667,15667,548,15537,15537,576
Empire Beauty School-Newport News,VA,NA,NA,72,NA,NA,85,NA,NA,78
Jolie Hair Academy,VA,NA,NA,5,NA,NA,NA,NA,NA,NA
Life Pacific University-Virginia,VA,13281,13281,NA,13905,13905,NA,14890,14890,NA
Denver Seminary - Washington DC,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cecil College - Elkton Station,MD,4770,9510,NA,NA,NA,NA,NA,NA,NA
Bluefield College - Edward Via College of Osteopathic Medicine,VA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bryant & Stratton College-Richmond,VA,17573,17573,NA,16392,16392,NA,18607,18607,NA
Bryant & Stratton College-Hampton,VA,16545,16545,NA,18587,18587,NA,18827,18827,NA
Strayer University-Alexandria Campus,VA,13515,13515,NA,13515,13515,NA,13920,13920,NA
Strayer University-Woodbridge Campus,VA,13515,13515,NA,13515,13515,NA,13920,13920,NA
Strayer University-Loudoun Campus,VA,13515,13515,NA,13515,13515,NA,13920,13920,NA
Strayer University-Fredericksburg Campus,VA,13515,13515,NA,13515,13515,NA,13920,13920,NA
Strayer University-Chesterfield Campus,VA,13515,13515,NA,13515,13515,NA,13920,13920,NA
